	CODIGOINTERNOMUNI	MUNI	SED_01	SED_05	SED_02	SED_04	SED_03	SED_06	SED_07	SED_08	SED_09	SED_10	SED_11	SED_12	SED_13	SED_14	SED_15	TIC_01	TIC_02	TIC_03_1	TIC_03_0	TIC_04_1	TIC_04_0	TIC_05_1	TIC_05_0	TIC_06_1	TIC_06_0	TIC_07_1	TIC_07_0	TIC_08_1	TIC_08_0	TIC_10_1	TIC_10_0	TIC_11_1	TIC_11_0	SED_16	SED_17	SED_18	SED_19	SED_20	SED_21	SED_23	SED_24
0	5002	Abejorral	0.0	39.0	2286.0	0.0	0.0	977.0	3	3302	221.0	1433.0	1178.0	431.0	39.0		1.0	0.302776118066362	0.34901576700854015	59.0	8.0	24.0	43.0	5.0	62.0	4.0	63.0	0.0	67	8.0	59.0	54.0	13.0	4.0	63.0	67	3.0	64.0	0.04477611940298507			61.0	6
1	5004	Abriaquí	0.0	0.0	333.0	0.0	0.0	19.0	2	352	30.0	151.0	125.0	46.0	0.0		1.0	0.4944167525953943	0.33664042274000777	10.0	0.0	4.0	6.0	2.0	8.0	0.0	10.0	1.0	9	2.0	8.0	10.0	0.0	3.0	7.0	10	1.0	9.0	0.1			9.0	1
2	50006	Acacías	2563.0	424.0	12572.0	158.0	3385.0	297.0	6	19399	2013.0	7800.0	6011.0	2162.0	1413.0	0.01742357853497603	0.982576421465024	0.152036915861384	0.4835200339707171	66.0	1.0	41.0	26.0	25.0	42.0	7.0	60.0	17.0	50	60.0	7.0	67.0	0.0	23.0	44.0	67	33.0	34.0	0.4925373134328358			34.0	14
3	27006	Acandí	0.0	0.0	1229.0	208.0	181.0	1962.0	4	3580	305.0	1767.0	984.0	261.0	263.0		1.0	0.19368752723002283	0.38006421608662566	12.0	16.0	9.0	19.0	2.0	26.0	4.0	24.0	1.0	27	8.0	20.0	14.0	14.0	6.0	22.0	28	5.0	23.0	0.17857142857142858	19.0	0.6785714285714286	23.0	5
4	41006	Acevedo	0.0	190.0	4988.0	376.0	0.0	2179.0	4	7733	571.0	3742.0	2315.0	539.0	566.0		1.0	0.2762515833919841	0.5051866676203655	86.0	2.0	18.0	70.0	2.0	86.0	1.0	87.0	7.0	81	36.0	52.0	86.0	2.0	18.0	70.0	88	7.0	81.0	0.07954545454545454	1.0	0.011363636363636364	76.0	9
5	13006	Achí	0.0	524.0	5284.0	0.0	442.0	626.0	4	6876	691.0	2993.0	1964.0	624.0	604.0		1.0	0.11889878822992732	0.4102572472304507	59.0	12.0	8.0	63.0	1.0	70.0	1.0	70.0	3.0	68	15.0	56.0	51.0	20.0	18.0	53.0	71	4.0	67.0	0.056338028169014086			59.0	12
6	41013	Agrado	0.0	0.0	1257.0	148.0	0.0	664.0	3	2069	154.0	924.0	613.0	230.0	148.0		1.0	0.5296823192795388	0.7940484854972102	21.0	0.0	1.0	20.0	0.0	21.0	0.0	21.0	4.0	17	4.0	17.0	21.0	0.0	4.0	17.0	21	3.0	18.0	0.14285714285714285			18.0	3
7	25001	Agua de Dios	36.0	97.0	1743.0	64.0	0.0	0.0	4	1940	176.0	725.0	640.0	238.0	161.0		1.0	0.2681585053107118	0.3993267234954834	13.0	1.0	7.0	7.0	4.0	10.0	3.0	11.0	3.0	11	10.0	4.0	14.0	0.0	0.0	14.0	14	7.0	7.0	0.5			9.0	1
8	20011	Aguachica	278.0	1207.0	14720.0	481.0	7727.0	0.0	5	24413	2599.0	10883.0	7032.0	2211.0	1688.0	0.005816573137262934	0.9941834268627371	0.127253514070983	0.2804587340880553	85.0	13.0	30.0	68.0	28.0	70.0	4.0	94.0	24.0	74	46.0	52.0	83.0	15.0	11.0	87.0	98	45.0	53.0	0.45918367346938777	1.0	0.01020408163265306	63.0	14
9	68013	Aguada	0.0	0.0	254.0	0.0	0.0	0.0	1	254	22.0	102.0	88.0	42.0	0.0		1.0	0.5779067818173963	0.0	7.0	0.0	2.0	5.0	0.0	7.0	0.0	7.0	0.0	7	2.0	5.0	7.0	0.0	1.0	6.0	7	1.0	6.0	0.14285714285714285			6.0	1
10	17013	Aguadas	0.0	108.0	1367.0	0.0	0.0	2372.0	3	3847	265.0	1552.0	1315.0	561.0	154.0		1.0	0.5096459374102984	0.43494968125141287	66.0	2.0	8.0	60.0	5.0	63.0	4.0	64.0	5.0	63	15.0	53.0	67.0	1.0	12.0	56.0	68	9.0	59.0	0.1323529411764706			58.0	10
11	85010	Aguazul	661.0	564.0	5781.0	45.0	0.0	1280.0	5	8331	707.0	3477.0	2657.0	881.0	609.0		1.0	0.5751031887427456	0.3811134736546479	43.0	2.0	11.0	34.0	6.0	39.0	2.0	43.0	12.0	33	26.0	19.0	42.0	3.0	5.0	40.0	45	13.0	32.0	0.28888888888888886	1.0	0.022222222222222223	34.0	7
